Diameter (km), Depth (km)
9.831610, 1.799486
12.833087, 2.652956
5.553914, 0.843188
7.870015, 1.131105
6.617430, 0.997429
13.849335, 2.097686
11.604136, 0.534704
6.759232, 1.141388
5.152142, 0.678663
13.920236, 1.398458
4.490399, 0.586118
6.050222, 0.565553
5.719350, 0.832905
4.655835, 0.812339
9.075332, 1.624679
5.010340, 0.493573
8.200886, 1.429306
8.153619, 1.295630
4.655835, 0.637532
9.311669, 1.727506
13.282127, 2.467866
12.525849, 2.293059
7.279173, 1.120823
5.601182, 0.760925
4.395864, 0.534704
7.302806, 0.791774
15.905465, 1.655527
4.915805, 0.524422
5.884786, 0.884319
7.208272, 1.192802
5.742984, 0.894602
